Output directory: traffic_runs/20260416T180148Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=120, failures=0
Progress: 50s/300s, requests=291, failures=0
Progress: 70s/300s, requests=445, failures=0
Progress: 90s/300s, requests=627, failures=0
Progress: 100s/300s, requests=715, failures=0
Progress: 110s/300s, requests=825, failures=0
Progress: 120s/300s, requests=927, failures=0
Progress: 130s/300s, requests=1056, failures=0
Progress: 140s/300s, requests=1177, failures=0
Progress: 150s/300s, requests=1281, failures=0
Progress: 160s/300s, requests=1418, failures=0
Progress: 170s/300s, requests=1537, failures=0
Progress: 180s/300s, requests=1655, failures=0
Progress: 190s/300s, requests=1760, failures=0
Progress: 200s/300s, requests=1857, failures=0
Progress: 210s/300s, requests=1970, failures=0
