Output directory: traffic_runs/20260416T181159Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=125, failures=0
Progress: 20s/300s, requests=245, failures=0
Progress: 30s/300s, requests=374, failures=0
Progress: 40s/300s, requests=486, failures=0
Progress: 50s/300s, requests=622, failures=0
Progress: 60s/300s, requests=757, failures=0
Progress: 70s/300s, requests=883, failures=0
Progress: 80s/300s, requests=1000, failures=0
Progress: 90s/300s, requests=1120, failures=0
Progress: 100s/300s, requests=1233, failures=0
Progress: 110s/300s, requests=1356, failures=0
Progress: 120s/300s, requests=1467, failures=0
Progress: 130s/300s, requests=1600, failures=0
Progress: 140s/300s, requests=1704, failures=0
