sample,timestamp_utc,total_pods,running,pending,failed,unknown,total_restarts
1,2026-03-02T18:08:50Z,11,11,0,0,0,180
2,2026-03-02T18:09:05Z,11,11,0,0,0,180
3,2026-03-02T18:09:20Z,11,11,0,0,0,180
4,2026-03-02T18:09:36Z,11,11,0,0,0,180
5,2026-03-02T18:09:51Z,11,11,0,0,0,180
6,2026-03-02T18:10:06Z,11,11,0,0,0,180
7,2026-03-02T18:10:22Z,11,11,0,0,0,180
8,2026-03-02T18:10:37Z,11,11,0,0,0,180
9,2026-03-02T18:10:52Z,11,11,0,0,0,180
10,2026-03-02T18:11:08Z,11,11,0,0,0,180
11,2026-03-02T18:11:23Z,11,11,0,0,0,180
12,2026-03-02T18:11:38Z,11,11,0,0,0,180
13,2026-03-02T18:11:54Z,11,11,0,0,0,180
14,2026-03-02T18:12:10Z,11,11,0,0,0,180
15,2026-03-02T18:12:25Z,11,11,0,0,0,180
16,2026-03-02T18:12:40Z,11,11,0,0,0,180
17,2026-03-02T18:12:55Z,11,11,0,0,0,180
18,2026-03-02T18:13:11Z,11,11,0,0,0,180
19,2026-03-02T18:13:26Z,11,11,0,0,0,180
20,2026-03-02T18:13:41Z,11,11,0,0,0,180
