Output directory: traffic_runs/20260418T041944Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=191, failures=0
Progress: 20s/300s, requests=380, failures=0
Progress: 40s/300s, requests=706, failures=0
Progress: 50s/300s, requests=877, failures=0
Progress: 70s/300s, requests=1095, failures=0
Progress: 80s/300s, requests=1273, failures=0
Progress: 90s/300s, requests=1445, failures=0
Progress: 120s/300s, requests=1916, failures=0
Progress: 130s/300s, requests=2086, failures=0
Progress: 140s/300s, requests=2219, failures=0
Progress: 150s/300s, requests=2395, failures=0
Progress: 160s/300s, requests=2545, failures=0
Progress: 180s/300s, requests=2834, failures=0
Progress: 190s/300s, requests=2986, failures=0
