Output directory: traffic_runs/20260416T200630Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 3 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 10s/300s, requests=132, failures=0
Progress: 20s/300s, requests=262, failures=0
Progress: 30s/300s, requests=398, failures=0
Progress: 60s/300s, requests=523, failures=110
Progress: 70s/300s, requests=648, failures=235
Progress: 80s/300s, requests=763, failures=319
Progress: 90s/300s, requests=829, failures=319
Progress: 100s/300s, requests=950, failures=319
Progress: 110s/300s, requests=1068, failures=319
Progress: 120s/300s, requests=1184, failures=319
Progress: 130s/300s, requests=1280, failures=319
Progress: 140s/300s, requests=1403, failures=319
Progress: 150s/300s, requests=1546, failures=319
Progress: 160s/300s, requests=1661, failures=319
Progress: 170s/300s, requests=1786, failures=319
Progress: 180s/300s, requests=1902, failures=319
Progress: 190s/300s, requests=2008, failures=319
Progress: 200s/300s, requests=2120, failures=319
Progress: 210s/300s, requests=2218, failures=319
Progress: 220s/300s, requests=2307, failures=319
