Output directory: traffic_runs/20260417T055057Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 5 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 20s/300s, requests=349, failures=0
Progress: 50s/300s, requests=798, failures=0
Progress: 60s/300s, requests=903, failures=0
Progress: 80s/300s, requests=1216, failures=0
Progress: 110s/300s, requests=1523, failures=0
Progress: 140s/300s, requests=1930, failures=0
Progress: 160s/300s, requests=2118, failures=0
Progress: 170s/300s, requests=2247, failures=0
Progress: 180s/300s, requests=2398, failures=0
Progress: 210s/300s, requests=2833, failures=0
