Output directory: traffic_runs/20260416T173909Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: cart-heavy
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=10% browse+cart=75% full-checkout=15%
Progress: 10s/300s, requests=180, failures=0
Progress: 30s/300s, requests=522, failures=0
Progress: 40s/300s, requests=705, failures=0
Progress: 50s/300s, requests=890, failures=0
Progress: 60s/300s, requests=1041, failures=0
Progress: 70s/300s, requests=1197, failures=0
Progress: 90s/300s, requests=1476, failures=0
Progress: 100s/300s, requests=1641, failures=0
Progress: 110s/300s, requests=1841, failures=0
Progress: 130s/300s, requests=2201, failures=0
