Output directory: traffic_runs/20260416T182050Z
Base URL: http://localhost:8080
Duration: 300s | Target RPS: 4 | Mode: realistic
Discovered product paths: /product/0PUK6V6EV0 /product/1YMWWN1N4O /product/2ZYFJ3GM2N /product/66VCHSJNUP /product/6E92ZMYYFZ /product/9SIQT8TOJO /product/L9ECAV7KIM /product/LS4PSXUNUM /product/OLJCESPC7Z
Workflow weights: browse-only=55% browse+cart=25% full-checkout=20%
Progress: 20s/300s, requests=294, failures=0
Progress: 30s/300s, requests=453, failures=0
Progress: 40s/300s, requests=592, failures=0
Progress: 50s/300s, requests=772, failures=0
Progress: 80s/300s, requests=1175, failures=0
Progress: 90s/300s, requests=1331, failures=0
Progress: 110s/300s, requests=1643, failures=0
Progress: 120s/300s, requests=1792, failures=0
Progress: 130s/300s, requests=1936, failures=0
Progress: 140s/300s, requests=2113, failures=0
Progress: 150s/300s, requests=2281, failures=0
Progress: 160s/300s, requests=2413, failures=0
Progress: 170s/300s, requests=2610, failures=0
